shipment_id,origin,destination,weight_kg,volume_m3,priority,deadline,value_eur
SH0063,Braunschweig,Bonn,540,3.7,5,2026-01-22T00:00:00,2617
SH0064,Stuttgart,Dortmund,980,4.5,1,2026-01-27T00:00:00,3212
SH0065,Hamburg,Monchengladbach,258,1.5,4,2026-01-26T00:00:00,3283
SH0066,Wiesbaden,Braunschweig,478,2.6,5,2026-01-26T00:00:00,1705
SH0067,Kiel,Munich,972,1.0,5,2026-01-27T00:00:00,6546
SH0068,Chemnitz,Frankfurt,561,2.3,2,2026-01-26T00:00:00,3663
SH0069,Nuremberg,Freiburg,861,4.1,1,2026-01-25T00:00:00,1257
SH0070,Erfurt,Oberhausen,369,2.7,4,2026-01-16T00:00:00,3404
SH0071,Munster,Rostock,573,2.5,2,2026-01-17T00:00:00,7364
SH0072,Chemnitz,Berlin,698,4.8,4,2026-01-25T00:00:00,7427
SH0073,Frankfurt,Munster,133,1.1,5,2026-01-16T00:00:00,8018
SH0074,Monchengladbach,Duisburg,684,2.6,1,2026-01-24T00:00:00,8882
SH0075,Bochum,Oberhausen,857,1.1,4,2026-01-17T00:00:00,2124
SH0076,Dortmund,Berlin,268,1.0,4,2026-01-27T00:00:00,4484
SH0077,Frankfurt,Monchengladbach,391,1.0,5,2026-01-29T00:00:00,5568
SH0078,Wuppertal,Kiel,736,0.5,2,2026-01-23T00:00:00,4531
SH0079,Magdeburg,Nuremberg,626,2.1,2,2026-01-19T00:00:00,3629
SH0080,Mannheim,Hanover,942,3.8,5,2026-01-23T00:00:00,5342
SH0081,Berlin,Oberhausen,825,1.6,1,2026-01-27T00:00:00,2424
SH0082,Stuttgart,Wuppertal,506,3.3,4,2026-01-22T00:00:00,2876
SH0083,Halle,Gelsenkirchen,445,3.3,5,2026-01-20T00:00:00,3174
SH0084,Chemnitz,Magdeburg,962,4.7,5,2026-01-16T00:00:00,4931
SH0085,Mannheim,Wiesbaden,578,1.6,1,2026-01-29T00:00:00,3922
SH0086,Lubeck,Rostock,547,5.0,4,2026-01-18T00:00:00,8447
SH0087,Munster,Wiesbaden,222,1.2,4,2026-01-18T00:00:00,2126
SH0088,Essen,Cologne,780,2.5,5,2026-01-26T00:00:00,8525
SH0089,Berlin,Duisburg,760,1.6,4,2026-01-17T00:00:00,6938
SH0090,Gelsenkirchen,Munster,931,2.8,3,2026-01-27T00:00:00,9973
SH0091,Dortmund,Dresden,106,2.2,5,2026-01-16T00:00:00,3156
SH0092,Chemnitz,Hanover,556,4.3,3,2026-01-19T00:00:00,6429
SH0093,Essen,Oberhausen,530,2.3,5,2026-01-28T00:00:00,9660
SH0094,Halle,Munich,448,3.2,1,2026-01-23T00:00:00,8477
SH0095,Chemnitz,Freiburg,132,4.9,1,2026-01-25T00:00:00,2144
SH0096,Magdeburg,Munich,436,1.8,1,2026-01-18T00:00:00,7950
SH0097,Leipzig,Dresden,723,3.3,4,2026-01-25T00:00:00,8068
SH0098,Oberhausen,Chemnitz,605,1.9,3,2026-01-22T00:00:00,3194
SH0099,Leipzig,Munich,125,4.8,5,2026-01-25T00:00:00,4954
SH0100,Chemnitz,Oberhausen,332,3.1,5,2026-01-25T00:00:00,4276
SH0101,Krefeld,Wiesbaden,457,3.9,4,2026-01-28T00:00:00,2800
SH0102,Augsburg,Freiburg,482,2.4,4,2026-01-20T00:00:00,3216
SH0103,Krefeld,Frankfurt,134,2.7,5,2026-01-18T00:00:00,9999
SH0104,Frankfurt,Monchengladbach,263,4.7,1,2026-01-24T00:00:00,4078
SH0105,Hamburg,Nuremberg,465,2.7,5,2026-01-19T00:00:00,6588
SH0106,Aachen,Mainz,950,4.0,1,2026-01-22T00:00:00,9642
SH0107,Erfurt,Augsburg,636,3.7,1,2026-01-25T00:00:00,8033
SH0108,Nuremberg,Munster,776,2.6,1,2026-01-26T00:00:00,4480
SH0109,Kiel,Karlsruhe,966,3.9,1,2026-01-17T00:00:00,1132
SH0110,Bochum,Munich,768,1.5,1,2026-01-19T00:00:00,5344
SH0111,Rostock,Aachen,698,1.6,5,2026-01-21T00:00:00,9803
SH0112,Chemnitz,Monchengladbach,306,2.7,5,2026-01-19T00:00:00,6331
SH0113,Kiel,Magdeburg,808,2.0,2,2026-01-21T00:00:00,1465
SH0114,Berlin,Wuppertal,814,4.0,4,2026-01-27T00:00:00,7995
SH0115,Munster,Gelsenkirchen,248,2.3,5,2026-01-28T00:00:00,5586
SH0116,Bonn,Dresden,807,1.1,5,2026-01-21T00:00:00,7487
SH0117,Mainz,Karlsruhe,214,2.7,2,2026-01-27T00:00:00,1135
SH0118,Munich,Gelsenkirchen,789,0.6,3,2026-01-26T00:00:00,9915
SH0119,Munster,Wuppertal,896,2.9,4,2026-01-17T00:00:00,8144
SH0120,Kiel,Nuremberg,797,1.2,2,2026-01-28T00:00:00,8280
SH0121,Kassel,Monchengladbach,847,2.4,2,2026-01-24T00:00:00,7284
SH0122,Kiel,Wiesbaden,174,2.6,4,2026-01-17T00:00:00,6767
SH0123,Leipzig,Cologne,519,4.6,4,2026-01-29T00:00:00,2545
SH0124,Magdeburg,Munich,628,2.4,2,2026-01-27T00:00:00,9194
SH0125,Gelsenkirchen,Essen,261,2.4,4,2026-01-28T00:00:00,4130
SH0126,Karlsruhe,Rostock,586,2.3,1,2026-01-20T00:00:00,5499
SH0127,Bremen,Dresden,761,4.1,5,2026-01-29T00:00:00,7923
SH0128,Chemnitz,Monchengladbach,922,3.5,1,2026-01-21T00:00:00,6441
SH0129,Berlin,Bonn,667,2.8,4,2026-01-28T00:00:00,2368
SH0130,Monchengladbach,Hamburg,666,2.4,2,2026-01-20T00:00:00,6779
SH0131,Chemnitz,Kassel,217,4.3,1,2026-01-25T00:00:00,2399
SH0132,Karlsruhe,Dusseldorf,677,3.9,4,2026-01-23T00:00:00,1275
SH0133,Frankfurt,Bielefeld,127,4.8,3,2026-01-25T00:00:00,7717
SH0134,Karlsruhe,Cologne,649,2.0,3,2026-01-24T00:00:00,8904
SH0135,Rostock,Wiesbaden,379,4.4,1,2026-01-29T00:00:00,6251
SH0136,Stuttgart,Bremen,589,2.2,4,2026-01-28T00:00:00,1819
SH0137,Wiesbaden,Karlsruhe,188,4.2,3,2026-01-28T00:00:00,6266
SH0138,Rostock,Dusseldorf,788,1.6,3,2026-01-17T00:00:00,9341
SH0139,Munster,Bremen,687,4.2,5,2026-01-20T00:00:00,2645
SH0140,Magdeburg,Mannheim,675,1.1,1,2026-01-28T00:00:00,9274
SH0141,Essen,Dusseldorf,495,1.5,5,2026-01-27T00:00:00,2024
SH0142,Cologne,Bonn,912,0.7,2,2026-01-19T00:00:00,2121
SH0143,Cologne,Wiesbaden,632,4.6,2,2026-01-24T00:00:00,9452
SH0144,Dortmund,Frankfurt,739,4.5,2,2026-01-16T00:00:00,3246
SH0145,Wiesbaden,Rostock,129,0.5,4,2026-01-23T00:00:00,8739
SH0146,Rostock,Kassel,452,2.3,4,2026-01-26T00:00:00,3810
SH0147,Hamburg,Wuppertal,397,3.2,4,2026-01-16T00:00:00,8439
SH0148,Leipzig,Dortmund,916,2.9,4,2026-01-29T00:00:00,4311
SH0149,Nuremberg,Hamburg,632,4.8,5,2026-01-27T00:00:00,4190
SH0150,Stuttgart,Essen,809,1.4,2,2026-01-17T00:00:00,7351
SH0151,Mainz,Frankfurt,358,3.6,1,2026-01-27T00:00:00,9473
SH0152,Braunschweig,Rostock,227,1.9,4,2026-01-21T00:00:00,2094
SH0153,Dortmund,Monchengladbach,429,1.7,1,2026-01-26T00:00:00,3834
SH0154,Duisburg,Aachen,148,4.1,4,2026-01-26T00:00:00,5590
SH0155,Bielefeld,Braunschweig,450,4.2,4,2026-01-27T00:00:00,5480
SH0156,Hamburg,Bonn,906,1.1,2,2026-01-18T00:00:00,4001
SH0157,Hamburg,Gelsenkirchen,745,4.5,3,2026-01-21T00:00:00,6679
SH0158,Cologne,Gelsenkirchen,276,0.7,4,2026-01-16T00:00:00,7758
SH0159,Lubeck,Dusseldorf,655,0.8,4,2026-01-19T00:00:00,1604
SH0160,Krefeld,Cologne,891,1.1,2,2026-01-27T00:00:00,4672
SH0161,Leipzig,Duisburg,719,2.0,3,2026-01-16T00:00:00,2483
SH0162,Kiel,Rostock,205,4.3,2,2026-01-19T00:00:00,5241
SH0163,Hamburg,Krefeld,775,4.5,2,2026-01-20T00:00:00,7931
SH0164,Wuppertal,Bonn,936,1.9,4,2026-01-22T00:00:00,4530
SH0165,Dusseldorf,Freiburg,362,3.9,1,2026-01-28T00:00:00,2249
SH0166,Munich,Augsburg,398,1.6,4,2026-01-16T00:00:00,1537
SH0167,Kiel,Bochum,457,3.3,3,2026-01-24T00:00:00,4662
SH0168,Hamburg,Cologne,116,3.9,3,2026-01-25T00:00:00,2500
SH0169,Bielefeld,Hamburg,369,4.7,1,2026-01-29T00:00:00,2966
SH0170,Hanover,Wiesbaden,711,1.9,3,2026-01-22T00:00:00,4559
SH0171,Mannheim,Halle,550,3.4,2,2026-01-16T00:00:00,6977
SH0172,Dortmund,Mannheim,322,1.3,4,2026-01-18T00:00:00,9373
SH0173,Aachen,Duisburg,842,2.1,3,2026-01-28T00:00:00,5993
SH0174,Dusseldorf,Bielefeld,858,3.5,4,2026-01-25T00:00:00,8480
SH0175,Leipzig,Duisburg,987,1.6,3,2026-01-18T00:00:00,5070
SH0176,Aachen,Kassel,705,1.0,2,2026-01-29T00:00:00,1635
SH0177,Essen,Hamburg,566,0.8,1,2026-01-21T00:00:00,1428
SH0178,Bonn,Wiesbaden,575,4.6,2,2026-01-20T00:00:00,6301
SH0179,Erfurt,Leipzig,147,2.3,3,2026-01-25T00:00:00,4798
SH0180,Nuremberg,Bielefeld,835,1.9,5,2026-01-20T00:00:00,3960
SH0181,Freiburg,Kassel,322,1.5,1,2026-01-27T00:00:00,9293
SH0182,Freiburg,Gelsenkirchen,755,2.8,4,2026-01-20T00:00:00,6292
SH0183,Krefeld,Braunschweig,422,1.7,4,2026-01-22T00:00:00,5860
SH0184,Dortmund,Hamburg,179,2.3,1,2026-01-26T00:00:00,9444
SH0185,Munster,Stuttgart,856,1.1,5,2026-01-24T00:00:00,4339
SH0186,Gelsenkirchen,Frankfurt,685,4.3,4,2026-01-27T00:00:00,1829
SH0187,Karlsruhe,Wiesbaden,388,3.8,5,2026-01-26T00:00:00,1054
SH0188,Bremen,Bonn,402,0.7,5,2026-01-16T00:00:00,6721
SH0189,Lubeck,Bielefeld,191,4.6,1,2026-01-19T00:00:00,8850
SH0190,Wiesbaden,Essen,195,2.7,2,2026-01-17T00:00:00,7679
SH0191,Mannheim,Gelsenkirchen,169,0.8,4,2026-01-22T00:00:00,3261
SH0192,Munich,Hamburg,537,4.8,1,2026-01-20T00:00:00,8246
SH0193,Erfurt,Braunschweig,893,1.4,3,2026-01-28T00:00:00,4590
SH0194,Lubeck,Erfurt,934,0.8,1,2026-01-17T00:00:00,5380
SH0195,Krefeld,Braunschweig,370,1.5,2,2026-01-21T00:00:00,1805
SH0196,Augsburg,Chemnitz,770,3.5,1,2026-01-17T00:00:00,3895
SH0197,Munich,Magdeburg,317,3.8,4,2026-01-28T00:00:00,4101
SH0198,Dortmund,Frankfurt,546,3.1,5,2026-01-24T00:00:00,9533
SH0199,Halle,Gelsenkirchen,128,2.5,3,2026-01-23T00:00:00,4174
SH0200,Kiel,Mannheim,886,2.5,4,2026-01-16T00:00:00,6394
SH0201,Frankfurt,Krefeld,308,3.4,2,2026-01-28T00:00:00,5292
SH0202,Krefeld,Rostock,302,4.2,5,2026-01-25T00:00:00,4663
SH0203,Rostock,Freiburg,365,2.1,4,2026-01-17T00:00:00,1760
SH0204,Braunschweig,Bonn,252,2.2,4,2026-01-24T00:00:00,1410
SH0205,Leipzig,Freiburg,710,4.5,1,2026-01-19T00:00:00,3078
SH0206,Monchengladbach,Kiel,272,0.6,5,2026-01-26T00:00:00,9536
SH0207,Nuremberg,Monchengladbach,244,3.8,1,2026-01-26T00:00:00,1808
SH0208,Munster,Augsburg,730,1.6,1,2026-01-17T00:00:00,5994
SH0209,Krefeld,Stuttgart,440,1.9,2,2026-01-16T00:00:00,2599
SH0210,Cologne,Essen,484,4.9,3,2026-01-28T00:00:00,6487
SH0211,Lubeck,Augsburg,467,2.0,3,2026-01-17T00:00:00,9643
SH0212,Hamburg,Stuttgart,169,2.5,2,2026-01-27T00:00:00,1652
SH0213,Krefeld,Nuremberg,822,3.5,4,2026-01-16T00:00:00,5719
SH0214,Dresden,Wiesbaden,269,3.9,3,2026-01-19T00:00:00,5082
SH0215,Krefeld,Leipzig,661,4.7,5,2026-01-22T00:00:00,2068
SH0216,Frankfurt,Aachen,259,3.1,1,2026-01-19T00:00:00,9153
SH0217,Chemnitz,Aachen,328,2.5,2,2026-01-24T00:00:00,5889
SH0218,Bochum,Bielefeld,494,2.2,1,2026-01-27T00:00:00,1566
SH0219,Cologne,Munich,191,3.5,4,2026-01-17T00:00:00,8221
SH0220,Chemnitz,Dusseldorf,137,5.0,5,2026-01-28T00:00:00,6981
SH0221,Stuttgart,Berlin,538,4.1,5,2026-01-22T00:00:00,6579
SH0222,Chemnitz,Wiesbaden,428,1.2,2,2026-01-25T00:00:00,5499
SH0223,Erfurt,Bonn,142,2.5,2,2026-01-21T00:00:00,2158
SH0224,Monchengladbach,Braunschweig,176,2.7,4,2026-01-21T00:00:00,3837
SH0225,Rostock,Dusseldorf,541,4.3,5,2026-01-16T00:00:00,1575
SH0226,Monchengladbach,Augsburg,253,3.1,2,2026-01-16T00:00:00,2105
SH0227,Bremen,Hanover,731,2.7,4,2026-01-26T00:00:00,8338
SH0228,Gelsenkirchen,Bremen,804,3.6,1,2026-01-25T00:00:00,4129
SH0229,Halle,Oberhausen,316,4.8,3,2026-01-28T00:00:00,2209
SH0230,Freiburg,Bremen,520,2.5,3,2026-01-26T00:00:00,6339
SH0231,Duisburg,Bremen,688,3.3,2,2026-01-18T00:00:00,8235
SH0232,Duisburg,Essen,488,1.3,4,2026-01-24T00:00:00,5898
SH0233,Bremen,Krefeld,746,3.8,5,2026-01-25T00:00:00,4160
SH0234,Gelsenkirchen,Bonn,770,1.1,2,2026-01-28T00:00:00,6139
SH0235,Wuppertal,Stuttgart,890,0.6,2,2026-01-21T00:00:00,8484
SH0236,Chemnitz,Bremen,428,2.3,4,2026-01-17T00:00:00,8155
SH0237,Munster,Oberhausen,726,4.5,4,2026-01-22T00:00:00,5084
SH0238,Dresden,Bremen,694,3.3,1,2026-01-29T00:00:00,6478
SH0239,Wuppertal,Kiel,645,1.6,2,2026-01-26T00:00:00,3391
SH0240,Mannheim,Cologne,816,1.6,2,2026-01-22T00:00:00,9025
SH0241,Dresden,Berlin,860,1.2,1,2026-01-16T00:00:00,5514
SH0242,Kiel,Magdeburg,684,2.8,1,2026-01-27T00:00:00,7909
SH0243,Berlin,Stuttgart,817,2.2,2,2026-01-29T00:00:00,8491
SH0244,Aachen,Stuttgart,502,0.9,4,2026-01-17T00:00:00,5319
SH0245,Leipzig,Halle,501,2.6,5,2026-01-20T00:00:00,4667
SH0246,Stuttgart,Gelsenkirchen,707,1.6,4,2026-01-19T00:00:00,3983
SH0247,Bochum,Bonn,914,2.7,2,2026-01-28T00:00:00,1255
SH0248,Bremen,Mainz,217,2.0,1,2026-01-29T00:00:00,9999
SH0249,Munster,Stuttgart,987,1.0,4,2026-01-16T00:00:00,4343
SH0250,Berlin,Munster,288,5.0,1,2026-01-29T00:00:00,4375
SH0251,Braunschweig,Essen,460,3.0,2,2026-01-16T00:00:00,3329
SH0252,Bochum,Krefeld,673,2.7,3,2026-01-18T00:00:00,5973
SH0253,Essen,Dresden,826,2.2,1,2026-01-20T00:00:00,4076
SH0254,Dresden,Bonn,173,2.7,2,2026-01-17T00:00:00,6964
SH0255,Kassel,Rostock,642,2.9,1,2026-01-17T00:00:00,3075
SH0256,Stuttgart,Monchengladbach,484,1.7,3,2026-01-28T00:00:00,6528
SH0257,Dusseldorf,Duisburg,875,2.0,3,2026-01-23T00:00:00,8388
SH0258,Leipzig,Magdeburg,730,2.2,5,2026-01-17T00:00:00,2704
SH0259,Augsburg,Lubeck,260,1.2,3,2026-01-22T00:00:00,2299
SH0260,Lubeck,Erfurt,257,1.9,3,2026-01-24T00:00:00,2003
SH0261,Kiel,Kassel,225,1.6,4,2026-01-26T00:00:00,6676
SH0262,Essen,Rostock,372,1.6,4,2026-01-28T00:00:00,1785
SH0263,Leipzig,Kassel,329,3.2,3,2026-01-29T00:00:00,5231
SH0264,Munich,Mannheim,268,4.9,1,2026-01-24T00:00:00,8863
SH0265,Halle,Nuremberg,398,4.1,3,2026-01-22T00:00:00,1462
SH0266,Bochum,Munster,867,4.4,5,2026-01-17T00:00:00,6925
SH0267,Karlsruhe,Freiburg,619,3.8,2,2026-01-20T00:00:00,5568
SH0268,Stuttgart,Rostock,440,1.2,1,2026-01-23T00:00:00,1489
SH0269,Freiburg,Hanover,421,1.9,1,2026-01-26T00:00:00,8035
SH0270,Hanover,Monchengladbach,400,3.3,2,2026-01-25T00:00:00,2380
SH0271,Berlin,Erfurt,803,4.6,4,2026-01-20T00:00:00,9797
SH0272,Essen,Erfurt,548,3.9,2,2026-01-22T00:00:00,2532
SH0273,Krefeld,Hamburg,810,4.5,5,2026-01-20T00:00:00,6158
SH0274,Erfurt,Munster,222,0.8,3,2026-01-20T00:00:00,9646
SH0275,Mannheim,Essen,381,4.5,2,2026-01-19T00:00:00,7335
SH0276,Leipzig,Stuttgart,986,4.1,2,2026-01-21T00:00:00,4091
SH0277,Munster,Bielefeld,834,3.2,2,2026-01-22T00:00:00,6971
SH0278,Mainz,Essen,723,4.5,4,2026-01-27T00:00:00,4712
SH0279,Rostock,Munster,595,2.7,2,2026-01-16T00:00:00,1957
SH0280,Hanover,Bochum,168,2.2,3,2026-01-21T00:00:00,9199
SH0281,Wuppertal,Gelsenkirchen,918,4.1,3,2026-01-21T00:00:00,5665
SH0282,Frankfurt,Munster,553,4.6,2,2026-01-18T00:00:00,8007
SH0283,Munich,Oberhausen,486,1.9,5,2026-01-29T00:00:00,4232
SH0284,Duisburg,Freiburg,500,4.2,5,2026-01-21T00:00:00,2111
SH0285,Magdeburg,Kiel,406,3.6,2,2026-01-22T00:00:00,9341
SH0286,Bremen,Munster,538,2.7,2,2026-01-20T00:00:00,6131
SH0287,Hamburg,Magdeburg,686,3.4,2,2026-01-17T00:00:00,3128
SH0288,Bochum,Hanover,323,3.1,4,2026-01-20T00:00:00,2542
SH0289,Augsburg,Aachen,515,2.6,4,2026-01-29T00:00:00,5181
SH0290,Hamburg,Frankfurt,863,4.4,4,2026-01-22T00:00:00,6908
SH0291,Dusseldorf,Dresden,970,2.0,5,2026-01-22T00:00:00,2221
SH0292,Essen,Magdeburg,406,1.6,1,2026-01-28T00:00:00,9133
SH0293,Stuttgart,Kassel,326,2.7,1,2026-01-22T00:00:00,9370
SH0294,Munich,Hanover,979,3.0,1,2026-01-24T00:00:00,8354
SH0295,Karlsruhe,Dresden,881,1.7,5,2026-01-20T00:00:00,4117
SH0296,Cologne,Bochum,226,4.9,5,2026-01-27T00:00:00,4857
SH0297,Dusseldorf,Munster,845,1.1,2,2026-01-27T00:00:00,5006
SH0298,Lubeck,Kassel,624,0.5,5,2026-01-17T00:00:00,7900
SH0299,Lubeck,Kiel,830,3.5,1,2026-01-22T00:00:00,8812
SH0300,Leipzig,Kiel,173,2.4,4,2026-01-28T00:00:00,5804
SH0301,Krefeld,Monchengladbach,728,2.0,2,2026-01-24T00:00:00,7479
SH0302,Munster,Chemnitz,120,2.5,5,2026-01-17T00:00:00,3560
SH0303,Dortmund,Wiesbaden,272,1.2,4,2026-01-16T00:00:00,4738
SH0304,Erfurt,Hamburg,700,1.6,1,2026-01-21T00:00:00,6613
SH0305,Kassel,Braunschweig,192,3.3,5,2026-01-20T00:00:00,1220
SH0306,Lubeck,Stuttgart,921,2.3,5,2026-01-26T00:00:00,1505
SH0307,Magdeburg,Halle,394,2.7,2,2026-01-19T00:00:00,8014
SH0308,Stuttgart,Magdeburg,717,0.9,3,2026-01-24T00:00:00,1356
SH0309,Augsburg,Kiel,525,1.7,4,2026-01-20T00:00:00,1452
SH0310,Kassel,Nuremberg,596,2.9,3,2026-01-26T00:00:00,8618
SH0311,Braunschweig,Chemnitz,692,3.2,2,2026-01-24T00:00:00,6204
SH0312,Stuttgart,Augsburg,457,4.3,1,2026-01-16T00:00:00,3810
SH0313,Wiesbaden,Magdeburg,763,0.6,1,2026-01-16T00:00:00,1650
SH0314,Magdeburg,Kassel,502,3.4,4,2026-01-28T00:00:00,9556
SH0315,Kiel,Cologne,182,1.8,2,2026-01-24T00:00:00,6991
SH0316,Hamburg,Bochum,192,3.3,2,2026-01-27T00:00:00,7848
SH0317,Karlsruhe,Bochum,501,4.0,1,2026-01-28T00:00:00,3080
SH0318,Monchengladbach,Stuttgart,848,1.1,3,2026-01-26T00:00:00,6637
SH0319,Duisburg,Essen,619,1.6,3,2026-01-29T00:00:00,1119
SH0320,Bonn,Hanover,305,1.0,2,2026-01-24T00:00:00,3303
SH0321,Wuppertal,Oberhausen,210,0.7,4,2026-01-29T00:00:00,4626
SH0322,Krefeld,Braunschweig,552,3.5,3,2026-01-19T00:00:00,3619
SH0323,Munster,Wiesbaden,540,2.7,1,2026-01-19T00:00:00,6437
SH0324,Mannheim,Magdeburg,175,4.7,4,2026-01-22T00:00:00,5926
SH0325,Freiburg,Chemnitz,848,2.1,1,2026-01-24T00:00:00,8594
SH0326,Magdeburg,Halle,244,1.2,3,2026-01-28T00:00:00,1772
SH0327,Bochum,Magdeburg,740,5.0,4,2026-01-28T00:00:00,4990
SH0328,Dresden,Wuppertal,250,3.9,3,2026-01-22T00:00:00,7438
SH0329,Essen,Hanover,616,4.8,4,2026-01-29T00:00:00,2179
SH0330,Dresden,Bremen,634,1.7,1,2026-01-24T00:00:00,6249
SH0331,Hanover,Bielefeld,778,2.4,4,2026-01-28T00:00:00,2855
SH0332,Mannheim,Aachen,155,4.9,1,2026-01-25T00:00:00,4774
SH0333,Bonn,Gelsenkirchen,652,4.9,5,2026-01-25T00:00:00,3105
SH0334,Munich,Leipzig,162,0.5,5,2026-01-18T00:00:00,1994
SH0335,Dortmund,Magdeburg,710,3.0,1,2026-01-20T00:00:00,5672
SH0336,Leipzig,Dortmund,387,2.4,5,2026-01-25T00:00:00,4655
SH0337,Augsburg,Mannheim,158,2.5,3,2026-01-18T00:00:00,1301
SH0338,Cologne,Frankfurt,278,4.5,4,2026-01-28T00:00:00,2860
SH0339,Augsburg,Bremen,249,4.5,4,2026-01-20T00:00:00,4064
