truck_id,capacity_weight_kg,capacity_volume_m3,cost_per_km_eur,co2_per_km_kg,location,available
TR0083,800,4.0,1.41,0.7,Mainz,true
TR0084,1200,6.0,1.12,1.17,Braunschweig,true
TR0085,2000,5.0,1.44,0.98,Gelsenkirchen,true
TR0086,1200,5.0,0.97,0.8,Dusseldorf,true
TR0087,1000,10.0,1.01,0.68,Wuppertal,true
TR0088,1200,10.0,1.26,1.0,Bremen,true
TR0089,2000,4.0,1.12,1.1,Dusseldorf,true
TR0090,1000,4.0,1.54,1.15,Dortmund,true
TR0091,1000,6.0,1.58,1.0,Lubeck,true
TR0092,1000,7.5,1.53,0.94,Erfurt,true
TR0093,2000,4.0,1.73,0.85,Karlsruhe,true
TR0094,800,6.0,1.15,1.14,Halle,true
TR0095,1500,10.0,0.82,0.93,Lubeck,true
TR0096,2000,6.0,1.16,0.51,Rostock,true
TR0097,1000,6.0,1.06,0.74,Freiburg,true
TR0098,1200,7.5,1.42,1.19,Nuremberg,true
TR0099,2000,5.0,1.01,0.68,Dortmund,true
TR0100,1000,10.0,1.58,0.96,Aachen,true
TR0101,1500,7.5,1.07,0.85,Gelsenkirchen,true
TR0102,1200,5.0,1.01,0.7,Braunschweig,true
TR0103,1200,6.0,1.55,0.55,Bonn,true
TR0104,800,10.0,1.78,0.59,Karlsruhe,true
TR0105,1000,5.0,1.39,0.66,Frankfurt,true
TR0106,1500,7.5,1.38,0.96,Nuremberg,true
TR0107,1200,4.0,1.72,0.74,Kassel,true
TR0108,800,5.0,0.87,0.71,Krefeld,true
TR0109,1000,4.0,1.1,1.2,Mannheim,true
TR0110,2000,6.0,1.79,0.74,Munster,true
TR0111,2000,5.0,1.42,0.78,Bielefeld,true
TR0112,1500,4.0,0.9,1.02,Munich,true
TR0113,2000,5.0,0.88,1.02,Cologne,true
TR0114,2000,4.0,0.97,1.11,Aachen,true
TR0115,800,7.5,1.44,1.04,Wiesbaden,true
TR0116,1500,10.0,1.15,1.19,Munster,true
TR0117,800,6.0,0.8,0.91,Halle,true
TR0118,1500,5.0,1.75,0.68,Duisburg,true
TR0119,1000,10.0,0.99,0.7,Bielefeld,true
TR0120,1200,5.0,0.82,0.64,Kiel,true
TR0121,800,6.0,1.77,0.76,Krefeld,true
TR0122,1200,6.0,1.12,0.95,Nuremberg,true
TR0123,1000,6.0,1.22,1.1,Magdeburg,true
TR0124,2000,4.0,1.17,0.56,Dortmund,true
TR0125,2000,7.5,1.19,0.97,Krefeld,true
TR0126,800,5.0,1.01,0.58,Leipzig,true
TR0127,1200,5.0,1.73,1.01,Kiel,true
TR0128,800,7.5,1.17,0.89,Karlsruhe,true
TR0129,800,10.0,1.03,0.94,Lubeck,true
TR0130,2000,7.5,1.07,1.01,Wuppertal,true
TR0131,800,10.0,1.35,0.61,Mainz,true
TR0132,800,6.0,1.22,0.96,Essen,true
TR0133,1000,4.0,1.58,0.84,Bonn,true
TR0134,1000,10.0,1.75,1.12,Halle,true
TR0135,1500,5.0,0.9,0.53,Munich,true
TR0136,1200,7.5,1.72,0.64,Wuppertal,true
TR0137,800,6.0,1.3,0.92,Wiesbaden,true
TR0138,1000,7.5,0.99,0.95,Chemnitz,true
TR0139,800,4.0,0.94,0.73,Magdeburg,true
TR0140,1500,6.0,1.61,1.09,Cologne,true
TR0141,1500,10.0,1.4,0.54,Karlsruhe,true
TR0142,1500,4.0,1.39,0.72,Berlin,true
TR0143,1000,6.0,1.44,0.85,Frankfurt,true
TR0144,2000,10.0,1.75,0.81,Karlsruhe,true
TR0145,1000,5.0,1.25,0.61,Essen,true
TR0146,2000,4.0,0.93,0.99,Munich,true
TR0147,1000,6.0,0.81,0.6,Dusseldorf,true
TR0148,2000,4.0,1.53,0.87,Dortmund,true
TR0149,1000,7.5,1.47,0.86,Bonn,true
TR0150,1200,7.5,1.06,1.09,Kassel,true
TR0151,1500,5.0,1.59,1.04,Rostock,true
TR0152,1500,10.0,1.59,0.58,Kiel,true
TR0153,1500,5.0,0.88,0.53,Lubeck,true
TR0154,1200,7.5,1.12,0.88,Bremen,true
TR0155,1200,4.0,1.37,1.16,Magdeburg,true
TR0156,1000,5.0,0.94,0.69,Aachen,true
TR0157,1500,5.0,1.19,0.8,Bielefeld,true
TR0158,1000,6.0,1.34,0.95,Kassel,true
TR0159,2000,6.0,1.14,0.53,Halle,true
TR0160,1500,5.0,1.67,0.67,Bochum,true
TR0161,1200,7.5,1.69,0.55,Bremen,true
TR0162,2000,6.0,1.07,0.83,Kiel,true
TR0163,800,7.5,1.4,1.14,Braunschweig,true
TR0164,1000,5.0,1.71,0.62,Freiburg,true
TR0165,1500,5.0,1.7,0.7,Dortmund,true
TR0166,2000,7.5,1.72,0.75,Mainz,true
TR0167,1000,7.5,0.95,0.91,Hamburg,true
TR0168,2000,10.0,1.14,1.13,Dusseldorf,true
TR0169,2000,4.0,1.76,0.57,Berlin,true
TR0170,800,10.0,1.07,0.66,Dortmund,true
TR0171,1000,7.5,0.94,1.16,Leipzig,true
TR0172,1000,10.0,1.0,0.64,Dusseldorf,true
TR0173,1000,7.5,1.36,0.74,Bochum,true
TR0174,800,4.0,1.26,0.54,Chemnitz,true
TR0175,1500,5.0,1.58,1.05,Dresden,true
TR0176,2000,6.0,1.27,1.01,Berlin,true
TR0177,1500,10.0,0.83,1.08,Berlin,true
TR0178,2000,5.0,1.6,0.84,Erfurt,true
TR0179,1500,7.5,0.96,0.86,Bremen,true
TR0180,1500,4.0,1.2,0.83,Braunschweig,true
TR0181,800,7.5,1.43,0.99,Kassel,true
TR0182,1200,7.5,0.98,1.03,Gelsenkirchen,true
TR0183,1000,10.0,0.91,0.54,Stuttgart,true
TR0184,1500,5.0,1.03,0.77,Berlin,true
TR0185,2000,10.0,0.85,0.8,Braunschweig,true
TR0186,1000,10.0,1.17,1.13,Bochum,true
TR0187,800,7.5,0.81,0.58,Mannheim,true
TR0188,800,10.0,0.97,0.94,Krefeld,true
TR0189,2000,7.5,1.55,0.68,Leipzig,true
TR0190,1000,4.0,1.4,0.69,Mannheim,true
TR0191,1200,6.0,1.49,0.85,Hanover,true
TR0192,800,5.0,1.23,0.69,Rostock,true
TR0193,2000,6.0,1.07,0.52,Munster,true
TR0194,800,5.0,0.9,0.59,Kiel,true
TR0195,1000,4.0,1.41,0.94,Berlin,true
TR0196,800,5.0,1.09,0.71,Nuremberg,true
TR0197,1500,6.0,1.1,0.97,Freiburg,true
TR0198,800,4.0,1.42,1.08,Leipzig,true
TR0199,800,7.5,1.05,1.07,Krefeld,true
TR0200,1000,7.5,1.1,0.82,Bochum,true
