lane_id,origin,destination,distance_km,travel_time_hours,toll_cost_eur,traffic_factor
LN0077,Wuppertal,Kiel,440,6.2,41.7,0.91
LN0078,Magdeburg,Nuremberg,691,9.6,55.8,1.29
LN0079,Mannheim,Hanover,127,3.5,9.4,1.24
LN0080,Berlin,Oberhausen,427,5.9,35.8,1.11
LN0081,Stuttgart,Wuppertal,241,4.6,28.0,1.04
LN0082,Halle,Gelsenkirchen,695,9.9,64.4,1.28
LN0083,Chemnitz,Magdeburg,203,3.7,15.7,0.98
LN0084,Mannheim,Wiesbaden,331,4.7,33.1,1.24
LN0085,Lubeck,Rostock,746,10.5,60.7,0.95
LN0086,Munster,Wiesbaden,437,6.3,41.8,1.25
LN0087,Essen,Cologne,680,10.0,57.6,1.26
LN0088,Berlin,Duisburg,393,6.9,30.2,1.09
LN0089,Gelsenkirchen,Munster,544,8.5,47.3,0.92
LN0090,Dortmund,Dresden,752,10.6,66.6,1.22
LN0091,Chemnitz,Hanover,472,6.4,43.8,1.04
LN0092,Essen,Oberhausen,632,9.0,52.8,1.07
LN0093,Halle,Munich,289,4.4,19.7,0.91
LN0094,Chemnitz,Freiburg,540,8.5,50.9,1.13
LN0095,Magdeburg,Munich,730,9.8,67.1,1.18
LN0096,Leipzig,Dresden,378,5.7,37.0,1.16
LN0097,Oberhausen,Chemnitz,271,4.7,29.1,0.93
LN0098,Leipzig,Munich,367,5.4,37.6,1.21
LN0099,Chemnitz,Oberhausen,489,6.7,38.6,1.17
LN0100,Krefeld,Wiesbaden,125,2.4,5.4,1.23
LN0101,Augsburg,Freiburg,573,8.9,40.9,0.96
LN0102,Krefeld,Frankfurt,263,5.1,19.0,1.25
LN0103,Hamburg,Nuremberg,285,4.2,27.1,1.22
LN0104,Aachen,Mainz,609,9.3,53.9,1.16
LN0105,Nuremberg,Munster,417,6.9,35.9,1.1
LN0106,Kiel,Karlsruhe,150,2.6,15.9,0.98
LN0107,Bochum,Munich,728,9.8,64.7,1.01
LN0108,Rostock,Aachen,293,4.5,27.6,1.22
LN0109,Chemnitz,Monchengladbach,636,9.4,47.8,1.23
LN0110,Kiel,Magdeburg,280,4.5,20.3,1.02
LN0111,Berlin,Wuppertal,593,9.2,47.4,1.19
LN0112,Munster,Gelsenkirchen,411,5.8,41.4,0.91
LN0113,Bonn,Dresden,233,3.9,17.9,1.25
LN0114,Mainz,Karlsruhe,524,7.7,44.8,0.91
LN0115,Munich,Gelsenkirchen,145,3.7,6.9,1.11
LN0116,Munster,Wuppertal,272,4.7,29.6,1.21
LN0117,Kiel,Nuremberg,453,6.7,34.6,1.22
LN0118,Kassel,Monchengladbach,575,9.1,50.3,1.28
LN0119,Leipzig,Cologne,646,9.4,49.4,0.99
LN0120,Gelsenkirchen,Essen,650,9.9,56.1,1.13
LN0121,Karlsruhe,Rostock,570,8.0,48.1,1.2
LN0122,Bremen,Dresden,703,9.9,56.9,1.24
LN0123,Berlin,Bonn,466,6.7,36.4,0.99
LN0124,Monchengladbach,Hamburg,637,9.4,47.1,1.29
LN0125,Chemnitz,Kassel,550,8.5,43.1,0.97
LN0126,Karlsruhe,Dusseldorf,743,10.7,59.7,1.23
LN0127,Frankfurt,Bielefeld,678,10.4,59.0,1.2
LN0128,Karlsruhe,Cologne,209,3.5,12.2,1.21
LN0129,Rostock,Wiesbaden,321,5.1,28.6,1.07
LN0130,Stuttgart,Bremen,116,2.8,18.5,1.13
LN0131,Wiesbaden,Karlsruhe,621,9.4,56.9,1.23
LN0132,Rostock,Dusseldorf,727,10.8,55.8,0.93
LN0133,Munster,Bremen,301,5.5,25.0,1.29
LN0134,Magdeburg,Mannheim,596,9.1,48.7,1.05
LN0135,Essen,Dusseldorf,114,2.6,8.7,1.3
LN0136,Cologne,Bonn,789,11.5,71.4,0.95
LN0137,Cologne,Wiesbaden,223,3.7,13.0,1.24
LN0138,Dortmund,Frankfurt,423,6.5,40.7,0.91
LN0139,Wiesbaden,Rostock,493,7.1,49.4,1.14
LN0140,Rostock,Kassel,449,7.5,39.2,1.02
LN0141,Hamburg,Wuppertal,346,5.0,28.8,1.15
LN0142,Leipzig,Dortmund,382,6.2,32.6,1.09
LN0143,Nuremberg,Hamburg,738,10.7,63.5,1.02
LN0144,Stuttgart,Essen,204,4.2,15.8,0.97
LN0145,Mainz,Frankfurt,169,3.6,14.9,0.97
LN0146,Braunschweig,Rostock,738,10.1,65.4,1.22
LN0147,Dortmund,Monchengladbach,192,3.8,16.7,0.95
LN0148,Duisburg,Aachen,336,5.0,28.7,1.05
LN0149,Bielefeld,Braunschweig,331,5.5,32.5,1.14
LN0150,Hamburg,Bonn,467,6.7,43.5,1.07
LN0151,Hamburg,Gelsenkirchen,347,5.3,24.2,1.17
LN0152,Cologne,Gelsenkirchen,214,4.3,18.9,1.07
LN0153,Krefeld,Cologne,163,3.0,20.6,1.13
LN0154,Kiel,Rostock,208,3.7,21.8,1.09
LN0155,Hamburg,Krefeld,283,5.2,30.4,1.05
LN0156,Wuppertal,Bonn,539,8.3,39.1,1.11
LN0157,Dusseldorf,Freiburg,239,3.6,24.8,1.19
LN0158,Munich,Augsburg,566,8.8,51.5,1.14
LN0159,Kiel,Bochum,534,8.3,52.5,0.99
LN0160,Hamburg,Cologne,710,9.6,58.8,1.03
LN0161,Bielefeld,Hamburg,681,9.5,57.7,1.05
LN0162,Hanover,Wiesbaden,624,9.0,46.7,1.24
LN0163,Mannheim,Halle,673,10.2,53.0,1.17
LN0164,Dortmund,Mannheim,491,6.8,47.9,1.23
LN0165,Aachen,Duisburg,404,6.6,27.9,1.0
LN0166,Dusseldorf,Bielefeld,771,10.6,58.8,1.21
LN0167,Aachen,Kassel,742,10.2,67.3,1.17
LN0168,Essen,Hamburg,744,10.9,57.1,1.27
LN0169,Bonn,Wiesbaden,188,3.5,19.4,1.19
LN0170,Erfurt,Leipzig,617,9.2,49.5,1.13
LN0171,Nuremberg,Bielefeld,283,5.0,18.3,1.12
LN0172,Freiburg,Kassel,123,3.4,15.6,1.19
LN0173,Freiburg,Gelsenkirchen,293,5.4,30.8,1.06
LN0174,Krefeld,Braunschweig,415,6.4,39.6,1.15
LN0175,Dortmund,Hamburg,189,3.7,22.3,1.07
LN0176,Munster,Stuttgart,188,3.1,18.3,1.03
LN0177,Gelsenkirchen,Frankfurt,271,4.9,22.2,1.17
LN0178,Karlsruhe,Wiesbaden,185,3.8,14.6,1.27
LN0179,Bremen,Bonn,262,4.5,18.6,1.11
LN0180,Lubeck,Bielefeld,442,7.0,43.1,1.26
LN0181,Wiesbaden,Essen,636,9.0,52.0,1.04
LN0182,Mannheim,Gelsenkirchen,663,9.1,58.1,1.05
LN0183,Munich,Hamburg,702,10.3,62.0,1.29
LN0184,Erfurt,Braunschweig,495,7.4,35.2,1.1
LN0185,Lubeck,Erfurt,486,7.2,36.2,0.9
LN0186,Augsburg,Chemnitz,232,3.9,15.7,1.16
LN0187,Munich,Magdeburg,225,4.3,28.0,1.02
LN0188,Kiel,Mannheim,551,7.8,41.2,1.17
LN0189,Frankfurt,Krefeld,221,4.3,26.7,1.0
LN0190,Krefeld,Rostock,291,5.4,19.0,1.21
LN0191,Rostock,Freiburg,600,8.8,47.1,1.06
LN0192,Leipzig,Freiburg,584,8.1,55.6,1.07
LN0193,Monchengladbach,Kiel,413,5.7,36.3,0.95
LN0194,Nuremberg,Monchengladbach,619,8.7,44.6,1.29
LN0195,Munster,Augsburg,504,7.7,43.1,1.07
LN0196,Krefeld,Stuttgart,226,4.0,21.3,1.29
LN0197,Cologne,Essen,620,8.3,56.5,1.19
LN0198,Lubeck,Augsburg,439,6.7,34.6,0.94
LN0199,Hamburg,Stuttgart,450,6.1,36.6,1.04
LN0200,Krefeld,Nuremberg,684,10.4,58.3,1.25
LN0201,Dresden,Wiesbaden,396,6.7,39.6,1.06
LN0202,Krefeld,Leipzig,184,3.1,23.8,1.13
LN0203,Frankfurt,Aachen,372,5.7,30.0,1.02
LN0204,Chemnitz,Aachen,699,9.3,60.8,1.05
LN0205,Bochum,Bielefeld,266,4.9,23.0,1.24
LN0206,Cologne,Munich,328,6.0,25.7,1.15
LN0207,Chemnitz,Dusseldorf,790,10.9,62.3,0.97
LN0208,Stuttgart,Berlin,474,7.5,45.3,1.15
LN0209,Chemnitz,Wiesbaden,414,7.0,42.5,0.97
LN0210,Erfurt,Bonn,253,4.8,19.1,1.26
LN0211,Monchengladbach,Braunschweig,779,11.1,61.6,1.04
LN0212,Monchengladbach,Augsburg,500,7.0,47.4,0.92
LN0213,Bremen,Hanover,608,9.4,50.1,0.98
LN0214,Gelsenkirchen,Bremen,765,10.7,69.9,1.23
LN0215,Halle,Oberhausen,422,5.9,41.6,0.97
LN0216,Freiburg,Bremen,567,8.1,46.0,1.06
LN0217,Duisburg,Bremen,316,5.4,34.8,1.17
LN0218,Duisburg,Essen,248,4.1,15.8,1.18
LN0219,Bremen,Krefeld,483,7.9,45.0,1.02
LN0220,Gelsenkirchen,Bonn,471,6.8,38.9,1.16
LN0221,Wuppertal,Stuttgart,682,10.5,62.0,1.01
LN0222,Chemnitz,Bremen,343,5.0,27.7,1.23
LN0223,Munster,Oberhausen,465,7.5,34.3,0.98
LN0224,Dresden,Bremen,706,10.0,57.8,1.2
LN0225,Dresden,Berlin,626,8.7,56.1,1.06
LN0226,Berlin,Stuttgart,395,6.9,26.9,1.07
LN0227,Aachen,Stuttgart,162,3.6,11.7,1.23
LN0228,Leipzig,Halle,651,9.0,51.1,0.96
LN0229,Stuttgart,Gelsenkirchen,773,10.5,64.5,1.29
LN0230,Bochum,Bonn,698,10.5,65.2,1.24
LN0231,Bremen,Mainz,696,9.3,63.4,1.1
LN0232,Berlin,Munster,796,11.3,59.6,1.1
LN0233,Braunschweig,Essen,519,8.0,51.1,1.29
LN0234,Bochum,Krefeld,555,8.5,52.2,0.95
LN0235,Essen,Dresden,743,9.8,59.4,1.28
LN0236,Dresden,Bonn,381,5.5,28.9,1.27
LN0237,Kassel,Rostock,620,9.7,53.6,1.12
LN0238,Stuttgart,Monchengladbach,455,7.5,36.1,1.22
LN0239,Dusseldorf,Duisburg,661,9.6,51.7,1.14
LN0240,Leipzig,Magdeburg,543,7.5,38.5,0.98
LN0241,Augsburg,Lubeck,195,4.2,18.9,1.16
LN0242,Kiel,Kassel,657,9.5,58.4,1.23
LN0243,Essen,Rostock,733,10.9,53.7,1.04
LN0244,Leipzig,Kassel,220,4.5,26.1,1.27
LN0245,Munich,Mannheim,703,10.4,57.1,1.01
LN0246,Halle,Nuremberg,559,7.6,42.9,1.1
LN0247,Bochum,Munster,181,4.1,10.2,1.16
LN0248,Karlsruhe,Freiburg,729,10.6,67.6,1.12
LN0249,Stuttgart,Rostock,276,4.6,25.4,1.07
LN0250,Freiburg,Hanover,362,6.1,26.8,0.9
LN0251,Hanover,Monchengladbach,330,5.3,35.3,1.02
LN0252,Berlin,Erfurt,687,9.9,53.8,1.08
LN0253,Essen,Erfurt,746,10.1,67.8,1.26
LN0254,Krefeld,Hamburg,376,5.5,30.8,1.29
LN0255,Erfurt,Munster,134,2.6,18.6,1.19
LN0256,Mannheim,Essen,163,3.1,21.2,0.98
LN0257,Leipzig,Stuttgart,583,7.9,56.4,1.06
LN0258,Munster,Bielefeld,704,9.5,65.7,0.93
LN0259,Mainz,Essen,340,5.1,29.1,1.07
LN0260,Rostock,Munster,320,4.6,32.1,1.25
LN0261,Hanover,Bochum,398,5.7,29.7,1.24
LN0262,Wuppertal,Gelsenkirchen,249,4.6,15.2,0.92
LN0263,Munich,Oberhausen,103,3.0,11.9,0.97
LN0264,Duisburg,Freiburg,316,5.7,27.1,0.95
LN0265,Magdeburg,Kiel,194,2.9,12.1,0.92
LN0266,Bremen,Munster,560,7.7,51.8,1.26
LN0267,Hamburg,Magdeburg,512,8.1,46.9,1.11
LN0268,Bochum,Hanover,671,9.9,55.2,1.01
LN0269,Augsburg,Aachen,270,4.0,17.1,1.12
LN0270,Hamburg,Frankfurt,332,5.9,32.1,1.1
LN0271,Dusseldorf,Dresden,569,8.5,53.9,1.17
LN0272,Essen,Magdeburg,605,8.7,56.9,1.27
LN0273,Stuttgart,Kassel,199,3.5,23.5,0.99
LN0274,Munich,Hanover,565,8.8,44.1,1.02
LN0275,Karlsruhe,Dresden,461,7.6,35.2,1.08
LN0276,Cologne,Bochum,295,5.3,33.5,1.26
LN0277,Dusseldorf,Munster,460,6.7,32.8,1.24
LN0278,Lubeck,Kassel,105,1.9,14.2,1.14
LN0279,Lubeck,Kiel,255,3.9,26.3,1.16
LN0280,Leipzig,Kiel,550,8.7,40.8,1.14
LN0281,Krefeld,Monchengladbach,183,3.8,22.1,0.91
LN0282,Munster,Chemnitz,793,11.3,59.9,1.27
LN0283,Dortmund,Wiesbaden,645,9.0,49.9,1.15
LN0284,Erfurt,Hamburg,107,2.0,12.1,0.96
LN0285,Kassel,Braunschweig,241,4.8,25.1,1.2
LN0286,Magdeburg,Halle,523,7.4,40.9,0.96
LN0287,Stuttgart,Magdeburg,256,4.0,15.5,0.97
LN0288,Augsburg,Kiel,785,11.2,59.0,1.11
LN0289,Kassel,Nuremberg,344,5.4,26.9,1.29
LN0290,Braunschweig,Chemnitz,510,7.5,49.7,1.23
LN0291,Stuttgart,Augsburg,191,3.5,18.4,0.94
LN0292,Wiesbaden,Magdeburg,542,8.5,45.5,1.08
LN0293,Magdeburg,Kassel,462,6.8,36.3,1.06
LN0294,Kiel,Cologne,195,3.9,12.7,1.29
LN0295,Hamburg,Bochum,426,6.0,43.6,0.97
LN0296,Karlsruhe,Bochum,140,3.3,11.0,1.12
LN0297,Monchengladbach,Stuttgart,551,7.9,43.3,1.06
LN0298,Bonn,Hanover,761,10.9,64.2,0.92
LN0299,Wuppertal,Oberhausen,452,7.3,31.2,1.05
LN0300,Mannheim,Magdeburg,709,10.3,64.9,1.2
LN0301,Freiburg,Chemnitz,204,3.7,14.4,0.96
LN0302,Bochum,Magdeburg,792,11.3,73.0,1.27
LN0303,Dresden,Wuppertal,689,9.6,56.0,0.98
LN0304,Essen,Hanover,272,4.9,26.8,1.06
LN0305,Hanover,Bielefeld,125,3.2,5.6,0.93
LN0306,Mannheim,Aachen,297,5.5,31.3,1.08
LN0307,Bonn,Gelsenkirchen,122,3.4,12.9,1.17
LN0308,Munich,Leipzig,581,9.1,49.5,1.3
LN0309,Dortmund,Magdeburg,384,6.1,26.0,1.29
LN0310,Augsburg,Mannheim,541,7.3,44.1,1.27
LN0311,Cologne,Frankfurt,444,7.0,32.3,1.06
LN0312,Augsburg,Bremen,735,11.0,59.5,0.95
LN0313,Berlin,Munich,542,8.5,47.9,1.0
LN0314,Bochum,Essen,340,5.6,23.2,0.94
LN0315,Lubeck,Gelsenkirchen,762,10.2,56.9,0.99
LN0316,Oberhausen,Bochum,177,3.3,18.4,1.24
LN0317,Wiesbaden,Chemnitz,351,5.1,32.2,1.09
LN0318,Munich,Berlin,274,4.9,26.0,1.0
LN0319,Gelsenkirchen,Chemnitz,499,7.8,45.3,1.08
LN0320,Lubeck,Essen,458,6.4,40.9,1.23
LN0321,Frankfurt,Berlin,195,4.0,12.1,1.02
LN0322,Leipzig,Hamburg,778,10.4,59.4,0.99
LN0323,Chemnitz,Bonn,684,9.8,62.9,1.02
LN0324,Bochum,Wiesbaden,270,5.4,28.7,1.15
LN0325,Freiburg,Nuremberg,311,4.6,20.6,1.09
LN0326,Nuremberg,Dresden,463,6.8,33.2,1.27
LN0327,Leipzig,Oberhausen,130,3.1,11.4,1.04
LN0328,Hamburg,Freiburg,636,9.5,53.8,1.14
LN0329,Monchengladbach,Aachen,506,7.8,35.7,1.1
LN0330,Magdeburg,Bielefeld,152,3.1,16.3,1.25
LN0331,Rostock,Lubeck,477,6.7,37.3,1.2
LN0332,Mainz,Bochum,686,10.0,62.1,1.22
LN0333,Lubeck,Monchengladbach,644,8.6,61.1,1.15
LN0334,Bonn,Hamburg,130,2.3,14.5,1.28
LN0335,Rostock,Magdeburg,341,5.8,25.2,0.93
LN0336,Kiel,Aachen,773,11.4,58.5,1.25
LN0337,Leipzig,Aachen,750,10.0,66.2,1.21
LN0338,Hamburg,Dusseldorf,552,8.1,53.2,1.24
LN0339,Dusseldorf,Stuttgart,288,5.2,25.9,1.06
LN0340,Dusseldorf,Hamburg,395,6.3,28.9,1.14
LN0341,Wiesbaden,Freiburg,400,6.5,31.4,1.16
LN0342,Kassel,Dortmund,543,7.7,39.5,1.23
LN0343,Munster,Mannheim,191,3.8,11.8,1.03
LN0344,Dortmund,Erfurt,177,3.6,16.7,1.27
LN0345,Nuremberg,Leipzig,512,7.9,41.8,1.11
LN0346,Bielefeld,Bochum,532,7.8,44.4,0.98
LN0347,Bonn,Monchengladbach,106,2.5,4.4,1.23
LN0348,Wiesbaden,Bonn,258,4.9,22.2,1.21
LN0349,Augsburg,Frankfurt,641,9.6,50.1,1.18
LN0350,Bochum,Stuttgart,530,7.6,50.3,1.25
LN0351,Oberhausen,Munich,165,3.6,13.9,1.27
LN0352,Hanover,Krefeld,560,8.2,51.7,1.04
LN0353,Essen,Augsburg,342,5.2,30.4,0.9
LN0354,Dortmund,Braunschweig,762,10.1,56.4,0.95
LN0355,Bochum,Halle,584,8.5,52.8,1.18
LN0356,Bielefeld,Bonn,559,7.5,53.9,0.94
LN0357,Bielefeld,Hanover,607,9.5,52.6,1.2
LN0358,Duisburg,Kassel,371,6.4,38.7,1.17
LN0359,Wiesbaden,Cologne,365,6.0,36.9,0.95
LN0360,Dusseldorf,Halle,505,7.3,46.9,0.93
LN0361,Gelsenkirchen,Mainz,264,4.4,24.1,1.02
LN0362,Krefeld,Halle,300,5.0,27.7,1.0
LN0363,Nuremberg,Stuttgart,288,4.5,23.5,1.12
LN0364,Dusseldorf,Frankfurt,339,5.8,26.2,0.94
LN0365,Oberhausen,Erfurt,756,10.8,59.0,1.06
LN0366,Stuttgart,Dusseldorf,210,4.3,24.3,1.13
LN0367,Oberhausen,Mainz,752,10.3,67.4,1.08
LN0368,Braunschweig,Nuremberg,252,3.7,28.8,1.06
LN0369,Dortmund,Lubeck,289,4.3,23.0,1.22
LN0370,Monchengladbach,Bremen,625,9.2,59.9,1.27
LN0371,Bochum,Chemnitz,671,10.0,50.6,1.21
LN0372,Hamburg,Lubeck,179,4.1,17.8,1.21
LN0373,Magdeburg,Erfurt,675,9.6,61.0,1.15
LN0374,Krefeld,Freiburg,536,8.6,39.2,1.06
LN0375,Munster,Krefeld,100,3.1,14.5,0.98
LN0376,Duisburg,Hamburg,590,8.3,48.5,1.0
LN0377,Dresden,Chemnitz,288,4.7,33.0,1.08
LN0378,Nuremberg,Karlsruhe,280,5.3,22.8,1.24
LN0379,Dortmund,Munich,531,7.8,44.6,1.27
LN0380,Monchengladbach,Wuppertal,154,3.2,12.0,1.26
LN0381,Karlsruhe,Bielefeld,508,8.0,39.9,1.17
LN0382,Frankfurt,Munich,164,3.9,14.1,1.22
LN0383,Monchengladbach,Dortmund,192,3.7,18.6,1.2
LN0384,Gelsenkirchen,Karlsruhe,540,8.1,49.2,1.15
LN0385,Dusseldorf,Lubeck,353,5.3,31.8,1.1
LN0386,Cologne,Mannheim,110,2.1,18.5,0.97
LN0387,Berlin,Mannheim,203,4.0,22.6,1.27
LN0388,Dresden,Kassel,417,7.0,43.2,1.24
LN0389,Freiburg,Magdeburg,588,9.0,52.2,1.29
LN0390,Stuttgart,Mainz,147,3.8,18.6,1.19
LN0391,Rostock,Cologne,317,5.5,29.7,1.06
LN0392,Monchengladbach,Berlin,224,4.4,14.0,0.91
LN0393,Lubeck,Braunschweig,413,6.3,32.8,0.96
LN0394,Munster,Munich,271,4.1,21.8,1.17
LN0395,Essen,Kiel,510,7.8,48.8,1.25
LN0396,Augsburg,Mainz,464,7.3,35.1,1.21
LN0397,Magdeburg,Stuttgart,733,10.1,62.3,1.14
LN0398,Karlsruhe,Stuttgart,322,4.7,21.9,1.0
LN0399,Bielefeld,Munster,347,5.7,32.3,1.2
LN0400,Rostock,Oberhausen,262,3.8,27.2,1.19
LN0401,Berlin,Gelsenkirchen,640,9.5,55.3,1.0
LN0402,Dresden,Erfurt,586,9.3,42.1,0.99
LN0403,Duisburg,Karlsruhe,678,9.4,51.3,1.09
LN0404,Munster,Nuremberg,684,9.8,63.4,0.97
LN0405,Munster,Duisburg,239,4.3,21.2,1.2
LN0406,Cologne,Bremen,636,9.5,53.6,1.02
LN0407,Dresden,Mannheim,224,4.4,27.7,1.05
LN0408,Frankfurt,Mannheim,137,3.6,19.6,0.94
LN0409,Mannheim,Braunschweig,136,3.3,9.9,1.02
LN0410,Krefeld,Chemnitz,716,10.0,64.7,1.03
LN0411,Lubeck,Hamburg,159,2.8,8.6,0.93
LN0412,Leipzig,Gelsenkirchen,517,8.0,44.8,0.92
LN0413,Karlsruhe,Kassel,736,9.8,56.3,1.15
LN0414,Freiburg,Mainz,283,4.8,19.8,0.98
LN0415,Gelsenkirchen,Lubeck,655,8.9,47.5,1.05
LN0416,Kassel,Leipzig,301,4.3,22.6,0.98
LN0417,Bielefeld,Magdeburg,354,6.0,24.8,1.22
LN0418,Wiesbaden,Duisburg,761,10.8,62.1,1.18
LN0419,Cologne,Wuppertal,713,10.2,62.4,0.91
LN0420,Braunschweig,Lubeck,386,6.8,36.3,1.05
LN0421,Oberhausen,Hanover,437,7.2,30.6,0.95
LN0422,Dusseldorf,Dortmund,370,5.8,33.9,0.95
LN0423,Bremen,Leipzig,273,4.3,17.9,1.26
LN0424,Bonn,Bochum,490,7.7,37.0,0.99
LN0425,Essen,Wuppertal,523,7.7,49.2,0.93
LN0426,Halle,Cologne,440,6.0,40.8,1.27
LN0427,Mannheim,Freiburg,560,7.6,43.3,1.14
LN0428,Bonn,Chemnitz,243,4.3,15.8,0.94
LN0429,Aachen,Kiel,451,6.9,31.5,1.19
LN0430,Erfurt,Bremen,370,5.2,29.1,0.96
LN0431,Halle,Hamburg,738,11.2,57.4,0.95
LN0432,Nuremberg,Mannheim,767,10.8,69.0,0.91
LN0433,Halle,Bochum,526,7.3,46.3,1.05
LN0434,Berlin,Augsburg,596,8.5,55.7,0.98
LN0435,Chemnitz,Krefeld,544,8.4,45.4,1.3
LN0436,Munster,Kiel,693,9.5,59.8,1.26
LN0437,Gelsenkirchen,Duisburg,111,3.1,9.5,1.23
LN0438,Kiel,Hanover,321,5.0,23.3,1.12
LN0439,Lubeck,Berlin,767,10.3,60.2,1.17
LN0440,Dresden,Munich,217,4.4,12.8,1.05
LN0441,Wiesbaden,Bochum,524,7.1,45.9,1.08
LN0442,Magdeburg,Augsburg,499,7.8,47.2,1.0
LN0443,Nuremberg,Wuppertal,452,7.0,38.3,1.1
LN0444,Stuttgart,Freiburg,532,8.3,52.4,0.94
LN0445,Essen,Bielefeld,142,2.4,10.9,1.22
LN0446,Dresden,Aachen,775,11.4,65.7,1.06
LN0447,Munich,Lubeck,432,5.9,39.6,0.94
